,,                                      ENGLISH TRIALS,,,,,,,,,,                                                                                                                                        HINDI TRIALS,,,,,,,,,
User Serial No.,Time of Experiment,Reaction Time 1,Reaction Time 2,Reaction Time 3,Reaction Time 4,Reaction Time 5,Reaction Time 6,Reaction Time 7,Reaction Time 8,Reaction Time 9,Reaction Time 10,Reaction Time 11,Reaction Time 12,Reaction Time 13,Reaction Time 14,Reaction Time 15,Reaction Time 16,Reaction Time 17,Reaction Time 18,Reaction Time 19,Reaction Time 20
1,2024-11-14 13:14:47,9.1409039,7.7477017,6.0957119,3.0624339,1.6834993,3.7052932,1.7403747,2.2272374,3.6634866,9.8058971,7.3991874,4.0059386,7.4734847,1.8913048,1.5782167,2.6123802,2.9184919,1.8867658,2.9047134,2.9184919
2,2024-11-14 13:17:40,4.5233136,1.4402614,3.5866032,2.7646284,2.1500378,1.2282219,13.7497142,3.0025466,1.3135487,3.9304115,6.4374342,1.328872,1.4719837,1.844851,6.8366457,1.615117,1.2214642,1.4541005,2.8526203,1.2214642
3,2024-11-14 13:20:20,2.4218942,1.8460616,6.1767415,2.2695976,2.3387155,2.6988799,4.5922921,2.3101932,2.6613588,4.8847895,3.3016972,2.7945566,7.0858092,1.7912739,3.2712744,1.5911157,1.9806394,3.2195613,2.0373147,1.9806394
4,2024-11-14 13:22:58,7.8909026,6.0453036,1.2667322,1.0248704,2.5258443,2.801987,1.8382504,2.3874135,1.7897914,6.4848122,4.5499078,7.2209278,2.6721224,2.2660886,5.4816213,5.4851662,7.4833407,2.0341698,2.6481251,7.4833407
5,2024-11-14 13:26:56,8.5242647,7.625904,1.6928603,5.4189137,2.2634122,1.5386634,2.9835652,2.5099662,1.5074367,5.3119249,1.603033,6.8219291,7.9317228,1.923368,2.3406378,3.8725322,1.8679122,3.504315,1.0292436,3.504315
6,2024-11-14 13:52:32,1.6991959,1.0745296,4.044328,3.6957024,2.846965,2.3305498,1.5571242,1.2867309,1.1276953,3.5998139,1.7769435,0.7985652,1.1026518,2.0043037,9.8305137,2.5227239,1.322506,0.9192515,0.7113702,0.9192515
7,2024-11-14 13:54:40,1.4410051,4.2537743,4.0784077,1.3130739,0.8835656,1.2356832,1.7809327,1.7242325,2.427275,5.3339524,1.8887198,2.2457769,5.1348749,2.3193462,1.8840674,1.4715626,2.3107397,2.0179514,3.0466786,2.0179514
8,2024-11-18 11:11:51,2.0034691,3.5939248,4.9980539,3.1130113,6.3550225,1.8573399,1.3079122,1.7837903,2.0011638,4.782973,2.6125878,1.972853,2.7967002,1.9368941,2.1774508,3.3114448,1.827665,2.3226215,3.4871772,2.3226215
9,2024-11-18 11:14:49,14.5099356,2.7768212,5.3856399,1.7180205,5.7650236,1.240477,1.4470386,1.4233456,1.3833397,9.3529377,4.7390453,1.6637555,4.9763645,1.4586832,3.3843252,7.953594,9.7382309,22.970969,1.7483128,9.8305137
10,2024-11-18 11:17:25,2.5578243,21.2112353,1.1868841,3.1890699,1.2532965,1.8031592,1.6721552,5.5311132,2.4537992,2.3151112,10.5683789,0.9065667,1.6798923,1.3495453,5.733215,9.3569425,2.3903521,2.0295359,1.0463458,1.8840674
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
